bbref_id,nba_id
/players/n/newmada01.html,77712
/players/b/buddda01.html,76297
/players/m/minorda01.html,77610
/players/b/bingda01.html,76166
/players/d/deutsda01.html,76560
/players/b/battoda01.html,76124
/players/d/debusda01.html,76545
/players/z/zelleda01.html,78640
/players/g/gunthda01.html,76906
/players/m/meyerda01.html,77586
/players/h/hendeda01.html,76991
/players/s/stallda01.html,78238
/players/p/popsoda01.html,77872
/players/c/cowenda01.html,76462
/players/j/jamerda01.html,77114
/players/m/magleda01.html,77442
/players/s/sorenda01.html,78220
/players/w/wohlda01.html,78606
/players/p/piontda01.html,77862
/players/l/lattida01.html,77342
/players/s/scholda01.html,78088
/players/f/fedorda01.html,76697
/players/s/schelda01.html,78081
/players/c/corzida01.html,76453
/players/h/hoppeda01.html,77053
/players/g/gambeda01.html,76774
/players/j/johnsda01.html,77138
/players/f/feitlda01.html,76703
/players/r/robisda01.html,77998
/players/t/twardda01.html,78387
/players/m/minorma01.html,77612
/players/m/minorgr01.html,65
/players/j/johnsjo01.html,77152
/players/j/johnske01.html,77154
/players/j/johnske03.html,2256
/players/j/johnske02.html,134
/players/j/johnstr01.html,201234
/players/j/johnsan02.html,1533
/players/j/johnsca02.html,1629661
/players/j/johnsda02.html,683
/players/j/johnsor01.html,203111
/players/j/johnsda04.html,1626177
/players/j/johnsar01.html,77132
/players/j/johnsre01.html,77163
/players/j/johnsiv01.html,201274
/players/j/johnsal02.html,1628993
/players/j/johnsge03.html,77148
/players/j/johnsbr02.html,1627744
/players/j/johnsch03.html,202419
/players/j/johnsla01.html,77156
/players/j/johnsch01.html,77133
/players/j/johnsri01.html,77164
/players/j/johnsde01.html,77141
/players/j/johnsge02.html,77149
/players/j/johnske04.html,1629640
/players/j/johnsde03.html,2035
/players/j/johnsja01.html,201949
/players/j/johnsst03.html,77134
/players/j/johnsro01.html,77165
/players/j/johnsma02.html,77142
/players/j/johnsgu01.html,77150
/players/j/johnswe01.html,202325
/players/j/johnsar02.html,202356
/players/j/johnsle01.html,77158
/players/j/johnsch04.html,203187
/players/j/johnscl02.html,77135
/players/j/johnsst02.html,77166
/players/j/johnsha01.html,77151
/players/j/johnsty01.html,204020
/players/j/johnser02.html,911
/players/j/johnsch02.html,77159
/players/j/johnscl01.html,77136
/players/j/johnsst04.html,1626169
/players/j/johnsvi01.html,77167
/players/j/johnsed02.html,77144
/players/j/johnsli01.html,2669
/players/j/johnsma01.html,77160
/players/j/johnsom01.html,204179
/players/j/johnsam01.html,101161
/players/j/johnsal01.html,200792
/players/j/johnsca01.html,201291
/players/j/johnsmi01.html,77168
/players/j/johnser01.html,77145
/players/j/johnsbj01.html,1629168
/players/j/johnska01.html,77153
/players/j/johnsbu01.html,77130
/players/j/johnsla02.html,913
/players/j/johnsne02.html,77161
/players/j/johnsav01.html,422
/players/j/johnsni01.html,203910
/players/j/johnsja02.html,202707
/players/j/johnsfr01.html,77146
/players/j/johnsde02.html,1746
/players/j/johnsan01.html,77131
/players/j/johnsol01.html,77162
